postID,text,timestamp,likes,commentCount,community,district
BhZi261gqnR,#chicago #chicagoloop #sky #bluesky #clouds,1523383072,3,0,LOOP,Central
BhZh2Ueh4_5,"final descent <ed><U+00A0><U+00BD><ed><U+00B1><U+00A4>
Owner:@illkoncept
---
Plz Follow us:@california_lovers_us
For feature<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> follow us + tag: #california_lovers_us
--- #baltimore #illinois #downtownchicago #chigram #nebraska #chicagogrammers #chicagolife #wisconsin #chicity #chicagoshot #chicagoloop #discoverwisconsin #chicity_shots #lousiana #wisco #chitown #tennessee #southdakota #arkansas #chicagoriver #alabama #insta_chicago",1523382542,16,0,LOOP,Central
BhZh18ngr9_,It was so special being apart of @thatgirlgick sweet little girls 1st birthday. Thanks for letting us celebrate with you! #customcakes,1523382539,25,2,LOOP,Central
BhZhMCaldZ1,"@analiese.marie <U+2764>

#chicago #chicagonails #chicagonailtech #chicagonailart #chicagoart #chicagoloop #chicagonailartist #chicagostudio #eastsidechicago #eastside #southsidechicago #southside #Illinois #nails #nailart #nailartdesign #nailartdesigns #art #bling #swarovski #swarovskicrystals #glitter #acrylicnails #clawsup #nailsnailsnails #pampernails #pampernailsstudio
@nailsmagazine @nailpromagazine @nailitmag",1523382196,8,0,LOOP,Central
BhZgsoog1vB,Chicago was lit..<ed><U+00A0><U+00BD><ed><U+00B1><U+0089><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B4><U+009B> Also...working on a few cool new projects <ed><U+00A0><U+00BD><ed><U+00B1><U+0080><ed><U+00A0><U+00BD><ed><U+00B1><U+0080><ed><U+00A0><U+00BD><ed><U+00B1><U+0080> Can<92>t wait to start being created be again! #chicago #cambriahotel #cambriachicago #chicagoloop #chicagotheatre,1523381939,14,2,LOOP,Central
BhZf7hqggFS,"Have you tried Pebeo<92>s Mixed Media paints? Sign up for our workshop happening this Saturday if you haven<92>t! Just follow the link in our bio to sign up. While you<92>re here, tag a friend who<92>d love to try these!
Check out Milton Stevenson, our guest artist from Pebeo who will be hosting our workshop over at miltonstevenson.com. .
.
.
.
#blickartmaterials #blickstores #createwithblick #chicagoloop #pebeo #princetonbrushes #painting #mixedmedia #color #abstract #paintpouring 
@pebeo @princetonbrush",1523381536,9,0,LOOP,Central
BhZef9IgAaz,"beauty in white
<95>
#shotonmoment#chicagoarchitecure#milleniumpark#chicagogrammers#theloop#chicagoloop#chicago#flippinchi#chitecture#vissify#vscodaily#urbanandstreet#lookup#chicagogram#chicagoart#mychicagopix#insta_chicago#streetdreams#skyhigharchitecture#exploretocreate#toneitup#justgoshoot#instafocus#underratedgrams#chicagoigers#choosechicago#artofvisuals#streetdreamsmag#visualsoflife#visualsgang",1523380786,18,1,LOOP,Central
BhZdTTxH6M7,They broke the bridge #chicagoloop #chicago #jacksonblvdbridge #chicagoriver,1523380158,4,0,LOOP,Central
BhZbuNtA3ed,Hopefully the spring is here to stay <ed><U+00A0><U+00BC><ed><U+00BC><U+00BF><ed><U+00A0><U+00BC><ed><U+00BC><U+00B1>,1523379330,20,1,LOOP,Central
BhZbIxxlU09,"Did anyone say tacos? I<92>ll be stopping by @velvettaco 
#1350nlakeshore . . . 
#chicago #chicagoil #chicagoapartments #luxuryapartments #luxuryliving #apartmentliving #chicagoviews #illinois #amenities 
#chicagoloop #tacotuesday #tacos #tacolover #tacotime",1523379024,2,0,LOOP,Central
